pid,condition,posture,time,cond_order,pose_order
1,no,Q1FrontDown,9.4913,viz_first,po1
2,no,Q1FrontDown,11.2788,viz_first,po2
3,no,Q1FrontDown,58.4554,viz_first,po3
4,no,Q1FrontDown,46.8386,viz_first,po4
5,no,Q1FrontDown,35.6042,viz_first,po1
6,no,Q1FrontDown,43.5938,viz_first,po2
7,no,Q1FrontDown,78.2727,viz_first,po3
8,no,Q1FrontDown,36.0931,viz_first,po4
9,no,Q1FrontDown,38.3091,viz_first,po1
10,no,Q1FrontDown,95.8885,viz_first,po2
11,no,Q1FrontDown,43.3816,viz_first,po3
12,no,Q1FrontDown,87.7886,viz_first,po4
13,no,Q1FrontDown,111.2186,none_first,po1
14,no,Q1FrontDown,70.8844,none_first,po2
15,no,Q1FrontDown,10.5065,none_first,po3
16,no,Q1FrontDown,143.3817,none_first,po4
17,no,Q1FrontDown,66.63709565217393,none_first,po1
18,no,Q1FrontDown,167.8209,none_first,po2
19,no,Q1FrontDown,66.7743,none_first,po3
20,no,Q1FrontDown,150.6748,none_first,po4
21,no,Q1FrontDown,69.5063,none_first,po1
22,no,Q1FrontDown,87.2487,none_first,po2
23,no,Q1FrontDown,47.6185,none_first,po3
24,no,Q1FrontDown,22.0228,none_first,po4
1,no,Q1FrontUp,22.7206,viz_first,po1
2,no,Q1FrontUp,73.342,viz_first,po2
3,no,Q1FrontUp,11.6925,viz_first,po3
4,no,Q1FrontUp,23.3856,viz_first,po4
5,no,Q1FrontUp,7.9738,viz_first,po1
6,no,Q1FrontUp,37.4151,viz_first,po2
7,no,Q1FrontUp,64.9472,viz_first,po3
8,no,Q1FrontUp,46.3186,viz_first,po4
9,no,Q1FrontUp,19.6093,viz_first,po1
10,no,Q1FrontUp,26.3036,viz_first,po2
11,no,Q1FrontUp,15.6474,viz_first,po3
12,no,Q1FrontUp,33.1124,viz_first,po4
13,no,Q1FrontUp,35.0809,none_first,po1
14,no,Q1FrontUp,67.6106,none_first,po2
15,no,Q1FrontUp,31.9728,none_first,po3
16,no,Q1FrontUp,39.672157142857145,none_first,po4
17,no,Q1FrontUp,76.3007,none_first,po1
18,no,Q1FrontUp,90.7789,none_first,po2
19,no,Q1FrontUp,66.0254,none_first,po3
20,no,Q1FrontUp,39.672157142857145,none_first,po4
21,no,Q1FrontUp,39.672157142857145,none_first,po1
22,no,Q1FrontUp,25.3416,none_first,po2
23,no,Q1FrontUp,20.3295,none_first,po3
24,no,Q1FrontUp,37.2068,none_first,po4
1,no,Q3FrontDown,6.582,viz_first,po1
2,no,Q3FrontDown,10.3281,viz_first,po2
3,no,Q3FrontDown,28.4394,viz_first,po3
4,no,Q3FrontDown,26.152704545454547,viz_first,po4
5,no,Q3FrontDown,24.4687,viz_first,po1
6,no,Q3FrontDown,23.8984,viz_first,po2
7,no,Q3FrontDown,13.1993,viz_first,po3
8,no,Q3FrontDown,17.8664,viz_first,po4
9,no,Q3FrontDown,17.7957,viz_first,po1
10,no,Q3FrontDown,18.3285,viz_first,po2
11,no,Q3FrontDown,16.4611,viz_first,po3
12,no,Q3FrontDown,15.1044,viz_first,po4
13,no,Q3FrontDown,16.2898,none_first,po1
14,no,Q3FrontDown,35.8627,none_first,po2
15,no,Q3FrontDown,62.7569,none_first,po3
16,no,Q3FrontDown,26.152704545454547,none_first,po4
17,no,Q3FrontDown,32.3912,none_first,po1
18,no,Q3FrontDown,19.2417,none_first,po2
19,no,Q3FrontDown,22.6266,none_first,po3
20,no,Q3FrontDown,41.8819,none_first,po4
21,no,Q3FrontDown,54.0435,none_first,po1
22,no,Q3FrontDown,36.38,none_first,po2
23,no,Q3FrontDown,49.0397,none_first,po3
24,no,Q3FrontDown,12.3735,none_first,po4
1,no,Q3FrontUp,13.4058,viz_first,po1
2,no,Q3FrontUp,10.7759,viz_first,po2
3,no,Q3FrontUp,22.6548,viz_first,po3
4,no,Q3FrontUp,15.7876,viz_first,po4
5,no,Q3FrontUp,17.6249,viz_first,po1
6,no,Q3FrontUp,23.9784,viz_first,po2
7,no,Q3FrontUp,43.8462,viz_first,po3
8,no,Q3FrontUp,6.511,viz_first,po4
9,no,Q3FrontUp,56.1263,viz_first,po1
10,no,Q3FrontUp,20.7576,viz_first,po2
11,no,Q3FrontUp,20.1237,viz_first,po3
12,no,Q3FrontUp,27.3997,viz_first,po4
13,no,Q3FrontUp,36.26,none_first,po1
14,no,Q3FrontUp,27.3393,none_first,po2
15,no,Q3FrontUp,34.0362,none_first,po3
16,no,Q3FrontUp,59.5399,none_first,po4
17,no,Q3FrontUp,49.9045,none_first,po1
18,no,Q3FrontUp,9.2426,none_first,po2
19,no,Q3FrontUp,83.1994,none_first,po3
20,no,Q3FrontUp,34.14662608695652,none_first,po4
21,no,Q3FrontUp,63.1448,none_first,po1
22,no,Q3FrontUp,27.6031,none_first,po2
23,no,Q3FrontUp,85.4327,none_first,po3
24,no,Q3FrontUp,30.678,none_first,po4
1,yes,Q1FrontDown,25.3698,viz_first,po1
2,yes,Q1FrontDown,11.354,viz_first,po2
3,yes,Q1FrontDown,134.3015,viz_first,po3
4,yes,Q1FrontDown,118.1582,viz_first,po4
5,yes,Q1FrontDown,48.5386,viz_first,po1
6,yes,Q1FrontDown,51.751378260869565,viz_first,po2
7,yes,Q1FrontDown,35.906,viz_first,po3
8,yes,Q1FrontDown,26.8918,viz_first,po4
9,yes,Q1FrontDown,85.178,viz_first,po1
10,yes,Q1FrontDown,92.7573,viz_first,po2
11,yes,Q1FrontDown,57.8469,viz_first,po3
12,yes,Q1FrontDown,44.5319,viz_first,po4
13,yes,Q1FrontDown,90.7335,none_first,po1
14,yes,Q1FrontDown,28.9254,none_first,po2
15,yes,Q1FrontDown,34.1075,none_first,po3
16,yes,Q1FrontDown,38.8439,none_first,po4
17,yes,Q1FrontDown,40.2884,none_first,po1
18,yes,Q1FrontDown,23.3971,none_first,po2
19,yes,Q1FrontDown,33.3117,none_first,po3
20,yes,Q1FrontDown,70.5037,none_first,po4
21,yes,Q1FrontDown,34.256,none_first,po1
22,yes,Q1FrontDown,38.5849,none_first,po2
23,yes,Q1FrontDown,33.9002,none_first,po3
24,yes,Q1FrontDown,42.5954,none_first,po4
1,yes,Q1FrontUp,44.1729,viz_first,po1
2,yes,Q1FrontUp,6.9722,viz_first,po2
3,yes,Q1FrontUp,45.13715909090909,viz_first,po3
4,yes,Q1FrontUp,45.13715909090909,viz_first,po4
5,yes,Q1FrontUp,64.79,viz_first,po1
6,yes,Q1FrontUp,18.7189,viz_first,po2
7,yes,Q1FrontUp,93.9874,viz_first,po3
8,yes,Q1FrontUp,9.1529,viz_first,po4
9,yes,Q1FrontUp,37.5082,viz_first,po1
10,yes,Q1FrontUp,60.9561,viz_first,po2
11,yes,Q1FrontUp,29.8214,viz_first,po3
12,yes,Q1FrontUp,92.6075,viz_first,po4
13,yes,Q1FrontUp,23.0182,none_first,po1
14,yes,Q1FrontUp,30.4701,none_first,po2
15,yes,Q1FrontUp,29.3053,none_first,po3
16,yes,Q1FrontUp,45.4414,none_first,po4
17,yes,Q1FrontUp,33.3044,none_first,po1
18,yes,Q1FrontUp,45.7314,none_first,po2
19,yes,Q1FrontUp,24.9819,none_first,po3
20,yes,Q1FrontUp,119.1647,none_first,po4
21,yes,Q1FrontUp,52.5744,none_first,po1
22,yes,Q1FrontUp,77.119,none_first,po2
23,yes,Q1FrontUp,28.143,none_first,po3
24,yes,Q1FrontUp,25.0762,none_first,po4
1,yes,Q3FrontDown,10.0813,viz_first,po1
2,yes,Q3FrontDown,9.0104,viz_first,po2
3,yes,Q3FrontDown,22.358165217391303,viz_first,po3
4,yes,Q3FrontDown,16.4658,viz_first,po4
5,yes,Q3FrontDown,9.6583,viz_first,po1
6,yes,Q3FrontDown,34.9526,viz_first,po2
7,yes,Q3FrontDown,35.5893,viz_first,po3
8,yes,Q3FrontDown,11.821,viz_first,po4
9,yes,Q3FrontDown,23.8924,viz_first,po1
10,yes,Q3FrontDown,24.1265,viz_first,po2
11,yes,Q3FrontDown,11.8347,viz_first,po3
12,yes,Q3FrontDown,28.0017,viz_first,po4
13,yes,Q3FrontDown,12.7795,none_first,po1
14,yes,Q3FrontDown,38.8103,none_first,po2
15,yes,Q3FrontDown,11.6944,none_first,po3
16,yes,Q3FrontDown,26.5101,none_first,po4
17,yes,Q3FrontDown,34.9441,none_first,po1
18,yes,Q3FrontDown,12.9668,none_first,po2
19,yes,Q3FrontDown,18.0591,none_first,po3
20,yes,Q3FrontDown,34.3353,none_first,po4
21,yes,Q3FrontDown,15.856,none_first,po1
22,yes,Q3FrontDown,39.0954,none_first,po2
23,yes,Q3FrontDown,41.4956,none_first,po3
24,yes,Q3FrontDown,12.2572,none_first,po4
1,yes,Q3FrontUp,9.693,viz_first,po1
2,yes,Q3FrontUp,9.2924,viz_first,po2
3,yes,Q3FrontUp,25.700447619047612,viz_first,po3
4,yes,Q3FrontUp,18.5192,viz_first,po4
5,yes,Q3FrontUp,29.5925,viz_first,po1
6,yes,Q3FrontUp,19.129,viz_first,po2
7,yes,Q3FrontUp,46.716,viz_first,po3
8,yes,Q3FrontUp,10.7487,viz_first,po4
9,yes,Q3FrontUp,25.700447619047612,viz_first,po1
10,yes,Q3FrontUp,25.700447619047612,viz_first,po2
11,yes,Q3FrontUp,13.9872,viz_first,po3
12,yes,Q3FrontUp,15.9675,viz_first,po4
13,yes,Q3FrontUp,22.7057,none_first,po1
14,yes,Q3FrontUp,39.9033,none_first,po2
15,yes,Q3FrontUp,10.9387,none_first,po3
16,yes,Q3FrontUp,29.341,none_first,po4
17,yes,Q3FrontUp,26.9953,none_first,po1
18,yes,Q3FrontUp,7.4567,none_first,po2
19,yes,Q3FrontUp,22.7204,none_first,po3
20,yes,Q3FrontUp,66.8299,none_first,po4
21,yes,Q3FrontUp,72.6418,none_first,po1
22,yes,Q3FrontUp,25.2018,none_first,po2
23,yes,Q3FrontUp,29.8529,none_first,po3
24,yes,Q3FrontUp,11.4764,none_first,po4
